Team Number,Nickname,Website,Location,
"1334","Red Devils","http://www.1334.ca","Oakville ON Canada",
"1482","Ghosts","http://www.cssd.ab.ca/bishopgrandin","Calgary AB Canada",
"1695","Bearly Robotics- Your Best Alloy","http://helenarobotics.weebly.com/index.html","Helena MT USA",
"2130","Alpha+","http://www.bfhsrobotics.com","Bonners Ferry ID USA",
"216","More RoboDawgs",,"Grandville MI USA",
"244","RoboDawgs 3D",,"Grandville MI USA",
"288","The RoboDawgs","http://www.robodawgs.com","Grandville MI USA",
"3145","TeraViks","http://www.teraviks.com","Coeur d'Alene ID USA",
"3216","MR T","http://www.mrt3216.org","Missoula MT USA",
"3513","Techno Hawks","http://www.technohawks.com","Rathdrum ID USA",
"4010","Nautilus","http://www.nautilus4010.mx/","Tlalpan DIF Mexico",
"4334","Alberta Tech Alliance (ATA)",,"Calgary AB Canada",
"4497","SKy-Net",,"Swift Current SK Canada",
"4591","Hunchbacks",,"Calgary AB Canada",
"4604","Intimitrons of Area 51",,"Calgary AB Canada",
"4625","Trappers","https://www.facebook.com/fmcpn.ab","Fort Mcmurray AB Canada",
"4627","IRON MANNING","http://schools.cbe.ab.ca/b826/","Calgary AB Canada",
"4633","Bobcats",,"Calgary AB Canada",
"4634","Bishop McNally",,"Calgary AB Canada",
"4733","Lancers",,"Calgary AB Canada",
"4771","Match",,"Morelia MIC Mexico",
"5015","SWAT Bots Robotics",,"Airdrie AB Canada",
"5064","OpCom",,"Edmonton AB Canada",
"5078","ROBO-KAOS",,"Calgary AB Canada",
"5083","PUMAS",,"Edmonton AB Canada",
"5116","Community",,"Calgary AB Canada",
"5117","Community",,"Calgary AB Canada",
"5118","Community",,"Calgary AB Canada",
"5140","Systematic Targeting Of Robotic Mayhem (S.T.O.R.M.)",,"Edmonton AB Canada",
"5184","TITANICS",,"Edmonton AB Canada",
"5185","Dial-Up Grizzlies",,"Airdrie AB Canada",
"5228","Astros",,"Calgary AB Canada",
